id,record_id,sample_id,name,start_datetime,sample_datetime,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma,blink_strength,signal_noise
58,12,58,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:52.61593,37,40,624568.0,11647.0,3307.0,22989.0,24283.0,26164.0,26894.0,42816.0,157,51
59,12,59,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:53.62593,37,40,262063.0,51686.0,14137.0,10798.0,21882.0,18149.0,13780.0,4398.0,157,51
60,12,60,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:54.63593,37,40,733866.0,216846.0,58886.0,195387.0,138092.0,72895.0,60655.0,40116.0,157,51
61,12,61,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:55.64593,37,11,1409362.0,1988316.0,89559.0,82909.0,104021.0,44264.0,102370.0,120523.0,157,0
62,12,62,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:56.65593,37,11,2045593.0,134934.0,115864.0,60120.0,54231.0,94820.0,61634.0,15232.0,157,26
63,12,63,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:57.66592,37,11,256285.0,23468.0,13405.0,4904.0,6301.0,19208.0,2792.0,251.0,157,26
64,12,64,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:58.67593,37,11,544974.0,30572.0,12494.0,18915.0,16339.0,12485.0,7135.0,3337.0,157,26
65,12,65,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:58:59.68593,21,1,88676.0,123386.0,8789.0,6128.0,10465.0,6376.0,4464.0,304.0,47,0
66,12,66,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:00.69593,27,1,978473.0,150259.0,44440.0,7544.0,57800.0,28174.0,5341.0,7179.0,40,0
67,12,67,sample-data,2013.11.20 14:57:51.615,2013.11.20 14:59:01.70593,17,7,914821.0,107318.0,34057.0,20096.0,24904.0,16280.0,7865.0,2915.0,72,0
